Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,video_clip_path,Utterance_stemmed,Utterance_tokenized,emotion_neutral,emotion_anger,emotion_joy,emotion_sadness,emotion_surprise
8,But therell be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,0,7,8,21,"00:16:48,800","00:16:54,514",train_data/dia0_utt7.mp4,but therel perhap 30 peopl dump certain amount,"['but', 'there\x92l', 'perhap', '30', 'peopl', 'dump', 'certain', 'amount']",0.89767957,0.031214116,0.032634493,0.017424947,0.021027088
12,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",The Interviewer,neutral,0,11,8,21,"00:17:05,025","00:17:13,324",train_data/dia0_utt11.mp4,all right well definit answer monday i think i say confid youll fit well,"['all', 'right', 'we\x92ll', 'definit', 'answer', 'monday', 'i', 'think', 'i', 'say', 'confid', 'you\x92ll', 'fit', 'well']",0.6938099,0.058025807,0.16902423,0.023961795,0.05513315
32,Can I get a beer.,Chandler,neutral,2,8,3,6,"0:06:07,367","0:06:08,035",train_data/dia2_utt8.mp4,can i get beer,"['can', 'i', 'get', 'beer']",0.73341316,0.059261214,0.08741884,0.05420504,0.065666236
40,He was with her when he wrote this poem.,Phoebe,neutral,3,3,3,12,"00:10:21,078","00:10:23,496",train_data/dia3_utt3.mp4,he wrote poem,"['he', 'wrote', 'poem']",0.8101845,0.0650879,0.07340609,0.023113351,0.028174244
42,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,3,5,3,12,"00:10:26,667","00:10:29,586",train_data/dia3_utt5.mp4,now i 've touch seem emptier still,"['now', 'i', ""'ve"", 'touch', 'seem', 'emptier', 'still']",0.7781297,0.07882725,0.08142969,0.028734926,0.032839783
48,Hi!,Ross,joy,4,1,3,11,"0:20:24,891","0:20:25,028",train_data/dia4_utt1.mp4,hi,['hi'],0.70329577,0.025046572,0.17475049,0.019969823,0.07691113
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",Rachel,joy,4,8,3,11,"00:20:32,397","00:20:40,446",train_data/dia4_utt8.mp4,oh well woman i interview pretti tough y'know thank god mark coach i start talk fall line got happi wouldnt shut,"['oh', 'well', 'woman', 'i', 'interview', 'pretti', 'tough', ""y'know"", 'thank', 'god', 'mark', 'coach', 'i', 'start', 'talk', 'fall', 'line', 'got', 'happi', 'wouldn\x92t', 'shut']",0.3683908,0.07506721,0.50511175,0.020402964,0.030950049
61,Yeah.,Rachel,neutral,4,14,3,11,"0:20:55,380","0:20:56,057",train_data/dia4_utt14.mp4,yeah,['yeah'],0.89043504,0.015794914,0.075658485,0.007925291,0.010175764
63,Ameri-ccan.,Joey,neutral,5,1,3,15,"0:22:20,297","0:22:20,476",train_data/dia5_utt1.mp4,ameri-ccan,['ameri-ccan'],0.57158095,0.019345786,0.36838412,0.03893532,0.001726376
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,6,7,8,22,"00:12:43,209","00:12:48,255",train_data/dia6_utt7.mp4,hey scene kangaroo did-did like part,"['hey', 'scene', 'kangaroo', 'did-did', 'like', 'part']",0.88413393,0.07926237,0.021356447,0.010212638,0.005028406
75,You fell asleep!!,Joey,anger,6,9,8,22,"00:12:55,930","00:12:56,931",train_data/dia6_utt9.mp4,you fell asleep,"['you', 'fell', 'asleep']",0.21684127,0.66872704,0.08742701,0.007224555,0.019725615
77,They didnt take any of my suggestions!,Joey,anger,6,11,8,22,"0:12:59,809","0:13:03,196",train_data/dia6_utt11.mp4,they didnt take suggest,"['they', 'didn\x92t', 'take', 'suggest']",0.18558668,0.7635014,0.039320566,0.00211644,0.00943155
84,This guy fell asleep!,Chandler,anger,6,18,8,22,"0:13:11,407","0:13:12,589",train_data/dia6_utt18.mp4,thi guy fell asleep,"['thi', 'guy', 'fell', 'asleep']",0.5835431,0.15560856,0.13366137,0.0827833,0.044201694
117,This is my wedding.,Ross,neutral,11,0,4,23,"00:03:10,815","00:03:12,024",train_data/dia11_utt0.mp4,thi wed,"['thi', 'wed']",0.529278,0.07788108,0.31774458,0.055781294,0.019210005
124,"Bye, Pheebs!",Joey,joy,11,7,4,23,"00:03:34,631","00:03:36,340",train_data/dia11_utt7.mp4,bye pheeb,"['bye', 'pheeb']",0.4650305,0.15563326,0.30003726,0.043601744,0.035603225
153,"Oh my God, wh-what happened?",Ross,surprise,15,4,9,23,"00:42:30,464","00:42:35,885",train_data/dia15_utt4.mp4,oh god wh-what happen,"['oh', 'god', 'wh-what', 'happen']",0.3442644,0.074980855,0.07137115,0.028778544,0.48041928
