Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
8,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,0,7,8,21,"00:16:48,800","00:16:54,514"
12,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",The Interviewer,neutral,0,11,8,21,"00:17:05,025","00:17:13,324"
32,Can I get a beer.,Chandler,neutral,2,8,3,6,"0:06:07,367","0:06:08,035"
40,He was with her when he wrote this poem.,Phoebe,neutral,3,3,3,12,"00:10:21,078","00:10:23,496"
42,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,3,5,3,12,"00:10:26,667","00:10:29,586"
48,Hi!,Ross,joy,4,1,3,11,"0:20:24,891","0:20:25,028"
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",Rachel,joy,4,8,3,11,"00:20:32,397","00:20:40,446"
61,Yeah.,Rachel,neutral,4,14,3,11,"0:20:55,380","0:20:56,057"
63,Ameri-ccan.,Joey,neutral,5,1,3,15,"0:22:20,297","0:22:20,476"
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,6,7,8,22,"00:12:43,209","00:12:48,255"
75,You fell asleep!!,Joey,anger,6,9,8,22,"00:12:55,930","00:12:56,931"
77,They didn’t take any of my suggestions!,Joey,anger,6,11,8,22,"0:12:59,809","0:13:03,196"
84,This guy fell asleep!,Chandler,anger,6,18,8,22,"0:13:11,407","0:13:12,589"
117,This is my wedding.,Ross,neutral,11,0,4,23,"00:03:10,815","00:03:12,024"
124,"Bye, Pheebs!",Joey,joy,11,7,4,23,"00:03:34,631","00:03:36,340"
153,"Oh my God, wh-what happened?",Ross,surprise,15,4,9,23,"00:42:30,464","00:42:35,885"
156,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,15,7,9,23,"00:42:46,313","00:42:50,108"
186,Pizza delivery!,Caitlin,joy,17,7,5,19,"0:06:47,281","0:06:49,793"
191,"Uhh, the ball thing.",Joey,neutral,18,1,5,21,"0:05:09,642","0:05:11,603"
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,joy,18,3,5,21,"00:05:14,022","00:05:19,109"
248,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",Rachel,neutral,24,1,3,14,"00:10:44,727","00:10:49,397"
260,: Yeah.,Mr. Treeger,neutral,25,4,4,4,"00:20:54,962","00:20:56,462"
273,Who knows?,Joey,neutral,26,3,5,18,"00:09:51,882","00:09:53,508"
284,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",Monica,sadness,27,0,5,24,"00:20:18,592","00:20:24,805"
287,Are you kidding?,Ross,anger,28,1,4,15,"0:19:19,201","0:19:19,673"
334,Yeah-yeah you guys. Get out of here!,Ross,neutral,33,6,6,24,"00:04:19,676","00:04:22,302"
337,"Oh, thank you!   What’s going on?",Monica,joy,33,9,6,24,"00:04:37,402","00:04:44,616"
339,You have to tell her!,Ross,joy,32,10,1,12,"0:11:35,824","0:11:36,658"
344,"Oh, yeah, you have to tell her.",Chandler,neutral,32,15,1,12,"00:11:43,244","00:11:45,120"
357,Thank you Ross.,Phoebe,joy,35,4,7,9,"0:21:30,342","0:21:31,300"
393,"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",Monica,joy,37,2,7,19,"00:15:49,073","00:15:53,910"
425,It does in mine!,Joey,anger,39,18,3,19,"0:12:02,529","0:12:02,973"
444,Sure. So how long you been...,Joey,neutral,41,3,1,13,"00:05:14,147","00:05:18,358"
448,I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy.,Mr. Tribbiani,neutral,41,7,1,13,"00:05:29,203","00:05:34,333"
451,...I d'know.,Joey,neutral,41,10,1,13,"00:05:41,049","00:05:42,090"
452,Then y'haven't. You're burning your tomatoes.,Mr. Tribbiani,neutral,41,11,1,13,"0:05:44,844","0:05:47,514"
460,"Oh, great. Although I did sit down where there wasn’t a chair.",Rachel,neutral,43,1,3,19,"00:21:35,752","00:21:40,381"
462,"Oh, well, I guess I had that one coming.",Rachel,neutral,43,3,3,19,"00:21:43,927","00:21:47,221"
477,"What? Ace is high! Jack, queen, king, ace!",Joey,surprise,46,1,4,19,"00:12:43,095","00:12:46,264"
480,"All right, cut, let’s pick again, pick again.",Rachel,neutral,46,4,4,19,"0:13:06,577","0:13:08,259"
498,"No, no wait, for get them, we got one, hard left.",Joey,joy,47,7,2,6,"00:06:28,346","00:06:31,765"
505,You wanna smell him?,Joey,neutral,47,14,2,6,"00:06:49,700","00:06:50,784"
507,What'd I tell you? What'd I tell you?,Joey,joy,47,16,2,6,"00:07:04,298","00:07:05,674"
512,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",Ross,anger,49,2,6,18,"00:13:02,364","00:13:06,951"
516,I mean what’s more important?,Joey,neutral,49,6,6,18,"0:13:21,550","0:13:22,677"
521,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",Joey,neutral,49,11,6,18,"00:13:36,482","00:13:40,235"
529,"No, that was Dana Caplin.",Chandler,neutral,49,19,6,18,"00:13:56,919","00:13:58,461"
531,Ah whatever!,Joey,anger,49,21,6,18,"0:14:03,061","0:14:04,360"
542,Ah-ah!!,Joey,surprise,50,9,6,21,"0:14:31,956","0:14:33,140"
548,God!,Joey,anger,50,15,6,21,"0:14:42,215","0:14:42,929"
550,Hey.,Ross,neutral,51,0,3,15,"00:11:10,086","00:11:12,629"
557,"But I told you, I didn’t have the time!",Rachel,anger,51,7,3,15,"00:11:47,206","00:11:49,958"
569,Does it have to do with Joey?,Monica,neutral,52,8,3,21,"0:13:20,424","0:13:21,676"
577,Like I have nothing better to do!,Monica,neutral,53,4,6,24,"00:20:53,627","00:20:56,045"
607,So did I. I'm really glad Monica asked us out.,Rachel,joy,55,1,5,10,"00:10:53,611","00:10:56,738"
621,You are so dead! I'm gonna get you.,Danny,joy,55,15,5,10,"00:11:38,406","00:11:39,989"
624,"Hi Mom, it's Jill.",Jill,neutral,56,1,1,7,"00:02:23,309","00:02:24,643"
646,Tomorrow at 8:30.,Doug,neutral,59,2,3,24,"0:21:05,361","0:21:06,819"
663,"Ye-ye-yeah, yes I do!",Chandler,sadness,61,7,3,24,"00:21:48,223","00:21:49,557"
682,You can’t wear that! I’m wearing the famous tux! James Bond’s tux!,Chandler,anger,63,5,7,20,"00:10:18,367","00:10:22,495"
710,What?!?!,Monica,surprise,66,5,3,6,"00:14:41,964","00:14:42,964"
723,"Ross-Ross, you have no idea what this means to me!",Rachel,joy,67,5,6,3,"00:08:30,259","00:08:32,594"
748,That's great.,Chandler,joy,69,0,1,5,"00:10:00,223","00:10:04,270"
755,"Wow! That’s ah, that’s pretty nice!",Tony,joy,70,0,4,2,"00:10:11,611","00:10:14,404"
756,Pretty nice?,Joey,neutral,70,1,4,2,"00:10:14,472","00:10:16,489"
759,"Y'know, I, I really don’t think we need a canoe.",Chandler,neutral,70,4,4,2,"00:10:24,332","00:10:35,717"
760,You gotta take the canoe!,Tony,anger,70,5,4,2,"00:10:35,885","00:10:37,260"
770,What would you give to a kid if he wanted a ticket to play with?,Chandler,neutral,72,4,4,15,"00:14:47,845","00:14:50,847"
773,"All right, y’know what, she’s  gonna think that I’m handing you a credit card, but what I’m really gonna do is hand you a library card.",Chandler,neutral,72,7,4,15,"00:14:57,688","00:15:04,736"
793,Jason is not a sissy!,Phoebe,anger,74,5,3,23,"00:07:22,275","00:07:24,317"
795,Hi.,Ross,neutral,75,0,1,1,"00:19:28,917","00:19:30,251"
809,"Ah-ha, nowhere to run!",Ross,joy,78,0,6,17,"00:21:08,850","00:21:11,811"
810,I don’t like sitting up here! I’m just gonna over,Rachel,anger,78,1,6,17,"00:21:13,605","00:21:16,315"
831,He's planning your birthday party.,Joey,neutral,81,2,1,7,"0:11:40,950","0:11:41,092"
832,Oh my God! I love him!,Monica,joy,81,3,1,7,"00:11:42,743","00:11:44,577"
845,Looks like I was second to last.,Phoebe,surprise,81,16,1,7,"00:12:16,068","00:12:18,820"
848,Chandler! He’s your father.  he should be at the wedding.,Monica,anger,82,2,7,22,"00:03:17,155","00:03:20,032"
854,"Ooh, I think I wanna trade circles.",Phoebe,neutral,82,7,7,22,"00:03:35,965","00:03:38,342"
861,How ya doin’?,Joey,neutral,83,1,4,14,"00:15:50,199","00:15:51,616"
867,Not after this!,Phoebe,anger,84,3,4,20,"00:21:06,056","00:21:08,224"
869,I gotta go.,Joshua,neutral,84,5,4,20,"00:21:22,823","00:21:25,616"
